seed,family,label,temperature,J,Gamma,mse,mae,psnr_db
3,local_only,"local_only: J=0, Gamma=0.35",0.75,0.0,0.35,0.07157190254460534,0.2253631082062455,11.452574380935667
3,local_only,"local_only: J=0, Gamma=0.35",1.0,0.0,0.35,0.07157190254460534,0.22536310820624544,11.452574380935667
3,local_only,"local_only: J=0, Gamma=0.35",1.5,0.0,0.35,0.07157190254460534,0.22536310820624544,11.452574380935667
3,local_only,"local_only: J=0, Gamma=0.35",2.0,0.0,0.35,0.07157190254460534,0.22536310820624544,11.452574380935667
7,baseline,mean_fill,,,,0.03478463784624057,0.1559344551280865,14.586125138586691
7,baseline,nearest,,,,0.011409115405730747,0.07158147101635413,19.42748026861607
7,baseline,gaussian,,,,0.008355228379910797,0.06502347616316151,20.7804167470183
7,classical_ising,"classical_ising: J=0.25, Gamma=0",0.25,0.25,0.0,0.06069396170350156,0.20672799542306308,12.168545136906916
7,classical_ising,"classical_ising: J=0.25, Gamma=0",0.5,0.25,0.0,0.025797310533807072,0.13035136559805943,15.884255685022733
7,classical_ising,"classical_ising: J=0.25, Gamma=0",0.75,0.25,0.0,0.024505579442382137,0.12840343813678598,16.107350239959153
7,classical_ising,"classical_ising: J=0.25, Gamma=0",1.0,0.25,0.0,0.03280166256110221,0.1473425068039771,14.841041433976567
7,classical_ising,"classical_ising: J=0.25, Gamma=0",1.5,0.25,0.0,0.04887252139814943,0.18880591826190157,13.109352545659457
7,classical_ising,"classical_ising: J=0.25, Gamma=0",2.0,0.25,0.0,0.0590372006564839,0.2101927418706388,12.288742434659204
7,quantum,"quantum: J=0.25, Gamma=0.2",0.25,0.25,0.2,0.048328450903431776,0.17587057409694393,13.157971253012938
7,quantum,"quantum: J=0.25, Gamma=0.2",0.5,0.25,0.2,0.024359777981267077,0.12696348572427932,16.133266742472898
7,quantum,"quantum: J=0.25, Gamma=0.2",0.75,0.25,0.2,0.025009866591039164,0.12953193976088553,16.018886249000474
7,quantum,"quantum: J=0.25, Gamma=0.2",1.0,0.25,0.2,0.03333374528110706,0.14884330619205655,14.771158875534784
7,quantum,"quantum: J=0.25, Gamma=0.2",1.5,0.25,0.2,0.04911661746372637,0.18935849704765373,13.087715495912583
7,quantum,"quantum: J=0.25, Gamma=0.2",2.0,0.25,0.2,0.059144283036479735,0.2104032224617539,12.280872284782111
7,quantum,"quantum: J=0.25, Gamma=0.35",0.25,0.25,0.35,0.03230678398960893,0.14119868722831233,14.907062720994093
7,quantum,"quantum: J=0.25, Gamma=0.35",0.5,0.25,0.35,0.022837235461138816,0.12347332102683675,16.413564703316037
7,quantum,"quantum: J=0.25, Gamma=0.35",0.75,0.25,0.35,0.02615554802362289,0.13210969786736904,15.824361759943365
7,quantum,"quantum: J=0.25, Gamma=0.35",1.0,0.25,0.35,0.03441707188483387,0.15184113620959783,14.632260810843574
7,quantum,"quantum: J=0.25, Gamma=0.35",1.5,0.25,0.35,0.04961052457684108,0.19046834798130693,13.044261807521044
7,quantum,"quantum: J=0.25, Gamma=0.35",2.0,0.25,0.35,0.05936216019700387,0.2108304028238287,12.26490303406784
7,classical_ising,"classical_ising: J=0.45, Gamma=0",0.25,0.45,0.0,0.07809111384341,0.24060580811889662,11.073983826187035
7,classical_ising,"classical_ising: J=0.45, Gamma=0",0.5,0.45,0.0,0.05210216640279089,0.18538198179019183,12.831442184045635
7,classical_ising,"classical_ising: J=0.45, Gamma=0",0.75,0.45,0.0,0.027771171398462892,0.13371454297936972,15.56405801158668
7,classical_ising,"classical_ising: J=0.45, Gamma=0",1.0,0.45,0.0,0.02103028735949085,0.11732512275807404,16.771547930393773
7,classical_ising,"classical_ising: J=0.45, Gamma=0",1.5,0.45,0.0,0.030916401542423543,0.1425334060707431,15.098110607179539
7,classical_ising,"classical_ising: J=0.45, Gamma=0",2.0,0.45,0.0,0.04430665490073698,0.1788132779997302,13.535310374427894
7,quantum,"quantum: J=0.45, Gamma=0.2",0.25,0.45,0.2,0.07293420394901476,0.230204565513655,11.370687528535674
7,quantum,"quantum: J=0.45, Gamma=0.2",0.5,0.45,0.2,0.048381802643121856,0.17620537248868778,13.153179544244084
7,quantum,"quantum: J=0.45, Gamma=0.2",0.75,0.45,0.2,0.02666630868709972,0.13133277801000592,15.740370978374973
7,quantum,"quantum: J=0.45, Gamma=0.2",1.0,0.45,0.2,0.021025372866976953,0.1171486064210099,16.77256293621147
7,quantum,"quantum: J=0.45, Gamma=0.2",1.5,0.45,0.2,0.031182240104449713,0.14329803925515328,15.060926886963856
7,quantum,"quantum: J=0.45, Gamma=0.2",2.0,0.45,0.2,0.044467337295206785,0.1791997745018265,13.519588753322775
7,quantum,"quantum: J=0.45, Gamma=0.35",0.25,0.45,0.35,0.0626325628414969,0.20780375444964366,12.03199817180251
7,quantum,"quantum: J=0.45, Gamma=0.35",0.5,0.45,0.35,0.04164341700662189,0.16024245371695156,13.80453642124149
7,quantum,"quantum: J=0.45, Gamma=0.35",0.75,0.45,0.35,0.024775967111394303,0.12735910304846051,16.059693841506824
7,quantum,"quantum: J=0.45, Gamma=0.35",1.0,0.45,0.35,0.021107315625287042,0.11725028059689664,16.755669956480222
7,quantum,"quantum: J=0.45, Gamma=0.35",1.5,0.45,0.35,0.03172873542408635,0.14490647201761053,14.985472367330415
7,quantum,"quantum: J=0.45, Gamma=0.35",2.0,0.45,0.35,0.04479551453747871,0.17998486525259597,13.487654705810442
7,classical_ising,"classical_ising: J=0.7, Gamma=0",0.25,0.7,0.0,0.08213439583731837,0.2470360390632932,10.8547493308645
7,classical_ising,"classical_ising: J=0.7, Gamma=0",0.5,0.7,0.0,0.06749993327096909,0.22009448788387426,11.7069665650326
7,classical_ising,"classical_ising: J=0.7, Gamma=0",0.75,0.7,0.0,0.04803537442552037,0.17712380328711605,13.184388197160688
7,classical_ising,"classical_ising: J=0.7, Gamma=0",1.0,0.7,0.0,0.030287482130565938,0.13887654985250938,15.187368290855193
7,classical_ising,"classical_ising: J=0.7, Gamma=0",1.5,0.7,0.0,0.02061550069490026,0.1141617738802269,16.858061128931027
7,classical_ising,"classical_ising: J=0.7, Gamma=0",2.0,0.7,0.0,0.029699874518291848,0.13949180279876366,15.27245385569271
7,quantum,"quantum: J=0.7, Gamma=0.2",0.25,0.7,0.2,0.079919590730838,0.24274955378004573,10.973467488035178
7,quantum,"quantum: J=0.7, Gamma=0.2",0.5,0.7,0.2,0.06549129944611856,0.2155925472736391,11.838163924284274
7,quantum,"quantum: J=0.7, Gamma=0.2",0.75,0.7,0.2,0.04649244577073624,0.1733586627963765,13.32617606821952
7,quantum,"quantum: J=0.7, Gamma=0.2",1.0,0.7,0.2,0.02954818658691134,0.13729276299621165,15.294691672180559
7,quantum,"quantum: J=0.7, Gamma=0.2",1.5,0.7,0.2,0.020684988734489127,0.11437478370208728,16.843447112949637
7,quantum,"quantum: J=0.7, Gamma=0.2",2.0,0.7,0.2,0.02985706870563065,0.13995318452695685,15.249528324937671
7,quantum,"quantum: J=0.7, Gamma=0.35",0.25,0.7,0.35,0.07529581231720904,0.233578897098646,11.232291770277401
7,quantum,"quantum: J=0.7, Gamma=0.35",0.5,0.7,0.35,0.06141044783138916,0.20637839807873287,12.11757735544196
7,quantum,"quantum: J=0.7, Gamma=0.35",0.75,0.7,0.35,0.043464537755675915,0.16595159317238503,13.618649347257179
7,quantum,"quantum: J=0.7, Gamma=0.35",1.0,0.7,0.35,0.028135683686054538,0.13428713401858475,15.507425271965612
7,quantum,"quantum: J=0.7, Gamma=0.35",1.5,0.7,0.35,0.0208454392164741,0.11489062517473769,16.809889497925894
7,quantum,"quantum: J=0.7, Gamma=0.35",2.0,0.7,0.35,0.030181140376849297,0.1408979504154693,15.202643546858008
7,local_only,"local_only: J=0, Gamma=0",0.25,0.0,0.0,0.07857705047940917,0.2448754174158746,11.047042771856795
7,local_only,"local_only: J=0, Gamma=0",0.5,0.0,0.0,0.07857705047940917,0.2448754174158746,11.047042771856795
7,local_only,"local_only: J=0, Gamma=0",0.75,0.0,0.0,0.07857705047940917,0.2448754174158746,11.047042771856795
7,local_only,"local_only: J=0, Gamma=0",1.0,0.0,0.0,0.07857705047940917,0.2448754174158746,11.047042771856795
7,local_only,"local_only: J=0, Gamma=0",1.5,0.0,0.0,0.07857705047940917,0.2448754174158746,11.047042771856795
7,local_only,"local_only: J=0, Gamma=0",2.0,0.0,0.0,0.07857705047940917,0.2448754174158746,11.047042771856795
7,local_only,"local_only: J=0, Gamma=0.35",0.25,0.0,0.35,0.07857705047940909,0.2448754174158746,11.047042771856798
7,local_only,"local_only: J=0, Gamma=0.35",0.5,0.0,0.35,0.07857705047940915,0.24487541741587465,11.047042771856795
7,local_only,"local_only: J=0, Gamma=0.35",0.75,0.0,0.35,0.07857705047940916,0.24487541741587465,11.047042771856795
7,local_only,"local_only: J=0, Gamma=0.35",1.0,0.0,0.35,0.07857705047940917,0.2448754174158746,11.047042771856795
