family,label,temperature,J,Gamma,n,mean_psnr_db,std_psnr_db,min_psnr_db,max_psnr_db
quantum,"quantum: J=0.45, Gamma=0.35",0.75,0.45,0.35,6,15.502431161755469,0.40352890503353267,15.012962097562239,16.059693841506824
quantum,"quantum: J=0.45, Gamma=0.35",1.0,0.45,0.35,6,16.84203817560742,0.2815400379016829,16.43560006099152,17.266583369646916
quantum,"quantum: J=0.45, Gamma=0.35",1.5,0.45,0.35,6,15.400397805728408,0.3234882220835054,14.985472367330415,15.869189391444898
quantum,"quantum: J=0.45, Gamma=0.35",2.0,0.45,0.35,6,13.804940436736585,0.2867574683197474,13.487654705810442,14.259422170680438
classical_ising,"classical_ising: J=0.7, Gamma=0",0.25,0.7,0.0,6,10.11464725969853,0.5084731145160822,9.634316131298903,10.8547493308645
classical_ising,"classical_ising: J=0.7, Gamma=0",0.5,0.7,0.0,6,10.884677744650979,0.5239063665192093,10.45774176104199,11.7069665650326
classical_ising,"classical_ising: J=0.7, Gamma=0",0.75,0.7,0.0,6,12.373333746154591,0.4960472582462729,11.973241524180844,13.184388197160688
classical_ising,"classical_ising: J=0.7, Gamma=0",1.0,0.7,0.0,6,14.53744648857331,0.43183887246899755,14.063819387511415,15.187368290855193
classical_ising,"classical_ising: J=0.7, Gamma=0",1.5,0.7,0.0,6,17.114056508316736,0.3200123512021345,16.782319149698264,17.63827556542567
classical_ising,"classical_ising: J=0.7, Gamma=0",2.0,0.7,0.0,6,15.748907706352275,0.35332827715250475,15.27245385569271,16.234116983941387
quantum,"quantum: J=0.7, Gamma=0.2",0.25,0.7,0.2,6,10.219181264605673,0.5128313427619093,9.736543355812154,10.973467488035178
quantum,"quantum: J=0.7, Gamma=0.2",0.5,0.7,0.2,6,11.008991699944106,0.5264700107328496,10.579070445901815,11.838163924284274
quantum,"quantum: J=0.7, Gamma=0.2",0.75,0.7,0.2,6,12.513926277995816,0.4963712374928467,12.112564838728343,13.32617606821952
quantum,"quantum: J=0.7, Gamma=0.2",1.0,0.7,0.2,6,14.656680727129293,0.42799720497346333,14.180700377089483,15.294691672180559
quantum,"quantum: J=0.7, Gamma=0.2",1.5,0.7,0.2,6,17.110888076790406,0.3218655833474663,16.782011763612473,17.6332155153567
quantum,"quantum: J=0.7, Gamma=0.2",2.0,0.7,0.2,6,15.724848900321783,0.3525832986331897,15.249528324937671,16.210672011454804
quantum,"quantum: J=0.7, Gamma=0.35",0.25,0.7,0.35,6,10.447581420973547,0.5235675894873274,9.956798370413706,11.232291770277401
quantum,"quantum: J=0.7, Gamma=0.35",0.5,0.7,0.35,6,11.274696502287602,0.5314216905266267,10.838585059136355,12.11757735544196
quantum,"quantum: J=0.7, Gamma=0.35",0.75,0.7,0.35,6,12.80599446393857,0.49632730881288517,12.390542388539318,13.618649347257179
quantum,"quantum: J=0.7, Gamma=0.35",1.0,0.7,0.35,6,14.896568406481485,0.41921400143082965,14.4165602811014,15.507425271965612
quantum,"quantum: J=0.7, Gamma=0.35",1.5,0.7,0.35,6,17.09965264398477,0.3256153563478329,16.7765156168975,17.61736235986127
quantum,"quantum: J=0.7, Gamma=0.35",2.0,0.7,0.35,6,15.675545026430806,0.35104219028187844,15.202643546858008,16.162504824577894
local_only,"local_only: J=0, Gamma=0",0.25,0.0,0.0,6,11.143245339508736,0.23057920595080703,10.930046703834428,11.452574380935667
local_only,"local_only: J=0, Gamma=0",0.5,0.0,0.0,6,11.143245339508736,0.23057920595080703,10.930046703834428,11.452574380935667
local_only,"local_only: J=0, Gamma=0",0.75,0.0,0.0,6,11.143245339508736,0.23057920595080703,10.930046703834428,11.452574380935667
local_only,"local_only: J=0, Gamma=0",1.0,0.0,0.0,6,11.143245339508736,0.23057920595080703,10.930046703834428,11.452574380935667
local_only,"local_only: J=0, Gamma=0",1.5,0.0,0.0,6,11.143245339508736,0.23057920595080703,10.930046703834428,11.452574380935667
local_only,"local_only: J=0, Gamma=0",2.0,0.0,0.0,6,11.143245339508736,0.23057920595080703,10.930046703834428,11.452574380935667
local_only,"local_only: J=0, Gamma=0.35",0.25,0.0,0.35,6,11.143245339508736,0.23057920595080708,10.930046703834428,11.452574380935669
local_only,"local_only: J=0, Gamma=0.35",0.5,0.0,0.35,6,11.143245339508736,0.23057920595080714,10.930046703834428,11.452574380935669
local_only,"local_only: J=0, Gamma=0.35",0.75,0.0,0.35,6,11.143245339508736,0.23057920595080666,10.930046703834428,11.452574380935667
local_only,"local_only: J=0, Gamma=0.35",1.0,0.0,0.35,6,11.143245339508736,0.230579205950807,10.930046703834426,11.452574380935667
local_only,"local_only: J=0, Gamma=0.35",1.5,0.0,0.35,6,11.143245339508736,0.23057920595080733,10.930046703834426,11.452574380935667
local_only,"local_only: J=0, Gamma=0.35",2.0,0.0,0.35,6,11.143245339508733,0.23057920595080683,10.930046703834426,11.452574380935667
