seed,Gamma,temperature,mse,mae,psnr_db
11,0.0,1.0,0.01731824135325208,0.10545673998285336,17.614962121660696
11,0.0,1.25,0.011308568002962075,0.08510196234788488,19.465923860370516
11,0.0,1.5,0.012520694559277524,0.08697685388763617,19.023715788815863
11,0.0,1.75,0.01796431975990573,0.10421573994624819,17.455892232192838
11,0.1,1.0,0.01718414181987522,0.10503587297599763,17.648721517548008
11,0.1,1.25,0.011290458839908434,0.08497996707269105,19.472884081555375
11,0.1,1.5,0.012557528759991587,0.08709699062207714,19.01095818520486
11,0.1,1.75,0.018016031361367497,0.10438554555106899,17.44340870830913
11,0.2,1.0,0.016792812207760632,0.10377848778692977,17.748765686599256
11,0.2,1.25,0.011241471585755154,0.08461607215393822,19.491768329182126
11,0.2,1.5,0.012669804746862712,0.08745856600304756,18.972300779353034
11,0.2,1.75,0.01817148566026229,0.10489254160104486,17.40609564289239
11,0.35,1.0,0.015799854465487345,0.10064359148171832,18.013469133700625
11,0.35,1.25,0.011146701357592418,0.08380598483158064,19.528536343329904
11,0.35,1.5,0.012991713616228561,0.08846513690643293,18.86333561398964
11,0.35,1.75,0.018601273595476083,0.10627081522034959,17.304573194083417
19,0.0,1.0,0.01397103358005288,0.09582594918526452,18.54771463498623
19,0.0,1.25,0.009725827449618,0.07892868427409198,20.120734397178207
19,0.0,1.5,0.01212978070199811,0.08866764111983914,19.161470508047415
19,0.0,1.75,0.018148516989267047,0.10894847980884918,17.411588576632468
19,0.1,1.0,0.013860199255503278,0.09538950284104428,18.582305262217925
19,0.1,1.25,0.009722416893432525,0.0789213252447203,20.122257604847373
19,0.1,1.5,0.012173201194961184,0.08884481853562633,19.145952000368098
19,0.1,1.75,0.01820231229041064,0.10911629901794763,17.398734388732173
19,0.2,1.0,0.013538288715134109,0.09413227111411676,18.68436228453225
19,0.2,1.25,0.009717014104902456,0.07894790459845395,20.124671668619214
19,0.2,1.5,0.012304952023217646,0.08937331640422858,19.099200752641007
19,0.2,1.75,0.018363897416879278,0.10961724442914866,17.36035141924733
19,0.35,1.0,0.012733133494470273,0.09097617942331933,18.95064707744855
19,0.35,1.25,0.009738183811695465,0.07919742126296021,20.115220322493922
19,0.35,1.5,0.0126782657012479,0.09082268582201987,18.969401508621473
19,0.35,1.75,0.018809636219818467,0.1110069868202543,17.25619603665634
29,0.0,1.0,0.01931218145668325,0.109762739650464,17.14168666609505
29,0.0,1.25,0.01179919580715244,0.08592089701159394,19.281475917123387
29,0.0,1.5,0.011754078736844482,0.08746875969802313,19.298114044109216
29,0.0,1.75,0.016396377236542456,0.1050040167211825,17.852520982925885
29,0.1,1.0,0.019156988661720935,0.10926306663866925,17.176727578034683
29,0.1,1.25,0.011765766239531418,0.08583939882689964,19.293797843601045
29,0.1,1.5,0.011782233014569071,0.08758654061417387,19.287723925709244
29,0.1,1.75,0.016444022223340925,0.10516970544854255,17.839919449622418
29,0.2,1.0,0.01870267498621852,0.10779089533817571,17.280962732137446
29,0.2,1.25,0.011671219731814543,0.08562078490227704,19.328837544845825
29,0.2,1.5,0.0118687416723971,0.08794047077931726,19.255953226378754
29,0.2,1.75,0.01658741842970022,0.10566678731791064,17.80221199809087
29,0.35,1.0,0.01753889898748931,0.1038901574124971,17.559976731516237
29,0.35,1.25,0.011454256671803782,0.08513452835436712,19.410330892601362
29,0.35,1.5,0.01212186520180135,0.08894346647364991,19.16430549763341
29,0.35,1.75,0.016985122944252418,0.10706629880898248,17.69931305207426
