image,epoch,step,reconstructed_image,total_loss,reconstruction_mse,mean_energy,mean_order_parameter,order_parameter_susceptibility
monalisa.jpg,46,46,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0046.png,0.002731633372604847,0.010903427377343178,-0.8171794414520264,-0.12034668028354645,0.0013879761099815369
monalisa.jpg,47,47,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0047.png,0.002190784551203251,0.010608341544866562,-0.841755747795105,-0.11632359027862549,0.0040230900049209595
monalisa.jpg,48,48,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0048.png,0.0016650771722197533,0.010341644287109375,-0.8676567077636719,-0.11519203335046768,0.0011315569281578064
monalisa.jpg,49,49,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0049.png,0.0011606477200984955,0.010106058791279793,-0.8945411443710327,-0.11427424848079681,0.0009177848696708679
monalisa.jpg,50,50,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0050.png,0.0006064297631382942,0.009825952351093292,-0.9219523072242737,-0.11063157767057419,0.0036426708102226257
monalisa.jpg,51,51,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0051.png,0.00013871770352125168,0.009631652384996414,-0.9492934942245483,-0.10729934275150299,0.0033322349190711975
monalisa.jpg,52,52,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0052.png,-0.00041470304131507874,0.009348953142762184,-0.9763656258583069,-0.10615259408950806,0.001146748661994934
monalisa.jpg,53,53,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0053.png,-0.0009133517742156982,0.009120075032114983,-1.0033427476882935,-0.10541573911905289,0.0007368549704551697
monalisa.jpg,54,54,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0054.png,-0.0013910811394453049,0.008913648314774036,-1.030472993850708,-0.09943193197250366,0.005983807146549225
monalisa.jpg,55,55,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0055.png,-0.001938297413289547,0.008645603433251381,-1.0583901405334473,-0.0974169373512268,0.0020149946212768555
monalisa.jpg,56,56,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0056.png,-0.0024853255599737167,0.008389269933104515,-1.0874595642089844,-0.0925581306219101,0.004858806729316711
monalisa.jpg,57,57,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0057.png,-0.003001270815730095,0.008170360699295998,-1.1171631813049316,-0.09391813725233078,0.0013600066304206848
monalisa.jpg,58,58,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0058.png,-0.0035827569663524628,0.007885996252298355,-1.1468753814697266,-0.08960139751434326,0.004316739737987518
monalisa.jpg,59,59,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0059.png,-0.004121134057641029,0.007644138298928738,-1.1765272617340088,-0.08657699078321457,0.0030244067311286926
monalisa.jpg,60,60,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0060.png,-0.004663740750402212,0.007396995555609465,-1.2060736417770386,-0.08465603739023209,0.001920953392982483
monalisa.jpg,61,61,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0061.png,-0.005178715568035841,0.007186064962297678,-1.2364780902862549,-0.08285225182771683,0.0018037855625152588
monalisa.jpg,62,62,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0062.png,-0.005740299355238676,0.006937050726264715,-1.2677350044250488,-0.07725340127944946,0.0055988505482673645
monalisa.jpg,63,63,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0063.png,-0.006280702538788319,0.006722224876284599,-1.300292730331421,-0.07909870147705078,0.0018453001976013184
monalisa.jpg,64,64,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0064.png,-0.006798023357987404,0.006549973040819168,-1.3347996473312378,-0.07329479604959488,0.005803905427455902
monalisa.jpg,65,65,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0065.png,-0.0073081692680716515,0.006389103829860687,-1.369727373123169,-0.07156282663345337,0.00173196941614151
monalisa.jpg,66,66,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0066.png,-0.007885592989623547,0.006161632016301155,-1.4047225713729858,-0.06855830550193787,0.003004521131515503
monalisa.jpg,67,67,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0067.png,-0.008404679596424103,0.005992644466459751,-1.4397324323654175,-0.06553156673908234,0.00302673876285553
monalisa.jpg,68,68,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0068.png,-0.008963163942098618,0.005801536608487368,-1.4764701128005981,-0.059709176421165466,0.00582239031791687
monalisa.jpg,69,69,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0069.png,-0.009503986686468124,0.005648912861943245,-1.5152900218963623,-0.056468963623046875,0.0032402127981185913
monalisa.jpg,70,70,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0070.png,-0.010016804561018944,0.005550742149353027,-1.5567547082901,-0.05054253712296486,0.005926426500082016
monalisa.jpg,71,71,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0071.png,-0.010569659061729908,0.005412091501057148,-1.598175048828125,-0.04730675369501114,0.00323578342795372
monalisa.jpg,72,72,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0072.png,-0.011139155365526676,0.005251984111964703,-1.6391139030456543,-0.0435766726732254,0.003730081021785736
monalisa.jpg,73,73,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0073.png,-0.011599117890000343,0.0052162702195346355,-1.6815389394760132,-0.037005167454481125,0.006571505218744278
monalisa.jpg,74,74,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0074.png,-0.012270956300199032,0.004993109963834286,-1.7264066934585571,-0.03304395079612732,0.0039612166583538055
monalisa.jpg,75,75,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0075.png,-0.012816882692277431,0.004936314187943935,-1.7753198146820068,-0.026440918445587158,0.006603032350540161
monalisa.jpg,76,76,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0076.png,-0.01329018734395504,0.004921351093798876,-1.8211537599563599,-0.020871538668870926,0.005569379776716232
monalisa.jpg,77,77,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0077.png,-0.013928776606917381,0.004708327353000641,-1.8637105226516724,-0.016845228150486946,0.00402631051838398
monalisa.jpg,78,78,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0078.png,-0.01453636959195137,0.004575876519083977,-1.911224603652954,-0.0105111263692379,0.006334101781249046
monalisa.jpg,79,79,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0079.png,-0.015093831345438957,0.004582222551107407,-1.967605471611023,-0.002613464370369911,0.007897661998867989
monalisa.jpg,80,80,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0080.png,-0.015692705288529396,0.0045698960311710835,-2.0262601375579834,0.005595540627837181,0.008209004998207092
monalisa.jpg,81,81,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0081.png,-0.01631680317223072,0.004481421317905188,-2.079822540283203,0.010565374046564102,0.004969833418726921
monalisa.jpg,82,82,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0082.png,-0.01695983298122883,0.004367514047771692,-2.132734775543213,0.020257126539945602,0.0096917524933815
monalisa.jpg,83,83,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0083.png,-0.017584212124347687,0.0043029459193348885,-2.188715696334839,0.025819962844252586,0.005562836304306984
monalisa.jpg,84,84,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0084.png,-0.01817062869668007,0.004287230782210827,-2.24578595161438,0.032735224813222885,0.006915261968970299
monalisa.jpg,85,85,/home/adminpc/Desktop/HVK/Script/Hamiltonian_Vision_Kernel/Main2/Scripts/phase_transition_frames/epoch_0085.png,-0.018904050812125206,0.0041913376189768314,-2.3095388412475586,0.04126635566353798,0.008531130850315094
